Department,Year,Budget,Actual Expenditure,Personnel Costs,Operational Costs,Capital Expenditures,Overtime Costs,Travel and Training,Supplies and Materials,Maintenance Costs,Revenue Generated,Efficiency Metrics,Notes
Operations,2023,288634,281609,96519,39663,41624,4177,14501,13602,18421,21524,1.0359144450188122,Increased maintenance
Operations,2022,451049,176525,63578,75436,37818,3429,10768,15497,17263,7744,0.5670016371145508,Increased maintenance
Marketing,2023,97013,97013,150843,93275,20926,184,15231,23203,15974,5697,0.681103978126845,High overtime costs
Marketing,2024,167341,86303,128333,73211,32552,3133,18167,28178,19514,99256,1.095176431221873,High overtime costs
IT,2024,439929,69589,175205,20909,35100,4978,17477,28597,13929,68905,1.0246128523806752,High overtime costs
Operations,2022,244692,244692,70317,70883,6360,8698,15737,19461,7500,22826,1.194415418914828,Additional training expenses
HR,2023,196826,196826,147878,22713,44573,13773,5117,8092,16338,11545,0.9507884854702839,Increased maintenance
IT,2024,157584,157584,128745,22614,49696,18316,7938,26673,19918,6553,0.7121526488868937,-
Marketing,2024,128113,128113,149230,30734,16994,6174,10333,7591,6863,55982,0.8835184811766736,High overtime costs
Operations,2023,398928,321889,85950,40709,29941,17580,14922,28967,12888,49316,1.160776485092219,-
HR,2023,85282,65861,79612,32885,32531,11877,6746,7502,5491,10183,0.9562344952910189,Additional training expenses
HR,2024,217809,141707,84873,81622,40813,17722,18517,13853,13113,84625,1.1170492285325138,High overtime costs
IT,2024,336268,336268,135792,88267,16093,14457,6120,24476,16196,9931,0.516020830861133,High overtime costs
Operations,2022,382246,305043,189451,96128,38025,13562,2477,12061,19438,28835,0.7586856833280875,-
Operations,2022,445412,183909,144814,23341,16651,19004,6137,21161,19376,98407,1.1547150469285898,-
Marketing,2024,373671,373671,35231,49435,37812,6546,2876,6673,19770,72833,0.5275027212553166,Increased maintenance
Operations,2022,442515,104380,107385,22976,29844,11706,42,18354,12501,20599,0.8633710305400778,-
Operations,2024,443086,398233,61163,92910,22718,10352,5829,11002,16805,49515,0.7425706634880319,Additional training expenses
IT,2024,146651,146651,141880,87869,18589,1729,19825,15152,14721,9761,0.9523429319905495,High overtime costs
Operations,2022,296549,230903,182748,15290,44768,9609,8595,12308,12410,8061,0.6135559512523518,-
HR,2022,135395,135395,107592,55812,25022,12206,13493,16637,12731,368,0.9573102320241944,Additional training expenses
IT,2023,61345,61345,126564,60528,43853,18,10408,28043,5945,53101,1.1942890720882473,-
IT,2023,436688,294497,75535,68570,5234,16848,6849,5499,16832,55015,0.689814583667826,-
Marketing,2023,346221,210592,130952,66399,11834,8882,6686,18590,13893,5304,0.8229995622873512,-
Operations,2024,442573,442573,197182,58437,20055,16268,10341,5325,18390,55689,0.5207894501007515,Increased maintenance
Marketing,2022,247472,247472,198050,99122,8207,5310,19034,18729,17148,48544,0.8038341056976699,High overtime costs
HR,2024,62055,62055,155824,67907,7400,13804,15661,27417,7484,28806,0.7841947250765056,High overtime costs
IT,2022,415837,389229,44507,91876,14609,11253,17261,5887,7755,51244,0.8952950512480142,High overtime costs
IT,2024,135283,135283,144225,58723,26473,16546,1886,14187,12628,96879,0.6797393939309753,Increased maintenance
IT,2023,94484,94484,130282,45655,28935,9827,1303,8673,16460,58859,0.7300578705725584,-
HR,2023,127514,127514,192567,65833,28874,10938,18124,16232,16294,64412,0.9269276821225487,High overtime costs
HR,2023,140135,140135,90559,90096,45508,294,17496,12935,15059,594,1.1359324062446197,High overtime costs
Marketing,2024,347915,347915,20982,33997,30015,7240,7452,5928,17317,17829,0.6646387045335193,-
Marketing,2022,238726,238726,149128,76876,19184,6844,6118,9403,12817,20006,0.9742207447700214,High overtime costs
Marketing,2022,489756,208795,167218,36013,34543,1585,8439,19992,16997,33533,0.8667183912766193,-
Operations,2023,264223,83800,96737,42862,5650,19764,11452,26810,8033,22424,0.5732264138914975,Increased maintenance
IT,2023,422428,422428,102446,62448,37389,10541,14426,15114,17971,27792,0.8958032879164759,High overtime costs
IT,2023,167399,167399,108567,97818,32328,5427,567,12990,5389,39204,0.9961655826058992,High overtime costs
Marketing,2023,417029,417029,43636,55608,24416,15620,9380,16447,12834,60994,0.9187777248916664,-
IT,2022,472593,249548,102850,94612,18119,16578,1353,22008,19611,21015,0.5730899498908665,Additional training expenses
Marketing,2024,230645,230645,178404,50894,12644,9033,11804,9344,14435,25209,1.0981777088305982,Increased maintenance
Operations,2024,223805,223805,103866,95201,13653,14154,14415,23755,8347,88529,0.5287025171926963,High overtime costs
Operations,2024,179344,102284,82726,60649,19416,16336,4965,18754,5011,21140,0.6652032797216879,-
HR,2024,192832,106232,100901,72104,29897,12199,168,26083,14708,57802,0.9309967753604815,Increased maintenance
Operations,2023,163226,94420,161180,86459,6874,12776,11356,29634,6620,56057,0.6526088535529633,-
Marketing,2023,149250,149250,88896,49821,15429,2931,2671,10116,14949,59816,0.5712591184610183,Additional training expenses
Operations,2023,337906,142035,193625,57940,17213,14843,16762,11237,13240,75408,0.8583427859604655,High overtime costs
HR,2024,232058,232058,60880,20935,22640,5699,1932,14469,14907,80748,1.0057221055791583,Additional training expenses
IT,2023,215404,215404,72077,99577,41008,7636,14213,13878,11153,83813,0.7875285928638983,High overtime costs
Marketing,2023,221172,221172,23625,22467,20802,1860,193,29011,13178,47764,0.9889227266167433,Additional training expenses
IT,2022,186016,186016,58237,21073,21122,17314,10207,9610,13452,92227,1.102457928322444,High overtime costs
HR,2022,98825,98825,21223,17691,26653,14989,4616,21916,13511,82428,1.1711576485877009,-
HR,2023,63877,63877,85197,56538,48671,18318,5014,9497,17473,71889,0.6632854228129313,Increased maintenance
HR,2022,473206,112508,94693,34490,29101,15237,7878,8852,15468,2751,0.9237527790913216,High overtime costs
IT,2022,179065,179065,131555,25688,6409,4367,14814,24788,6927,46379,0.6868117875721265,High overtime costs
IT,2023,158443,158443,57760,60650,48388,13654,17684,7768,11813,10363,1.1096429617466104,-
IT,2023,411756,411756,130174,23829,39600,2171,3200,24039,7832,19227,1.1232015076583854,Additional training expenses
IT,2023,167674,135366,147192,13086,23408,3294,3373,7140,11978,74019,0.7255126440487883,High overtime costs
HR,2023,165074,55738,49024,12590,10736,13801,9729,12724,9116,29092,0.9517402724277008,Additional training expenses
HR,2024,498499,53098,43202,49893,9993,4747,1383,21957,5015,49008,1.121372757723131,-
Marketing,2024,446474,145424,139414,83396,48871,4392,15178,22949,15719,61622,0.8558545432778362,High overtime costs
Marketing,2023,301881,254705,71524,48176,36247,5238,19921,18258,8866,28918,1.0043294503707243,Increased maintenance
IT,2022,81629,81629,194980,77484,33821,2834,7924,14997,17293,64599,1.0605988526546732,High overtime costs
Operations,2023,480795,350388,187139,36295,8213,15435,11351,21820,7345,66185,1.1103272672257707,-
Operations,2023,204030,189325,160432,48131,48123,12908,4991,15695,14132,98864,0.8606453105681036,Additional training expenses
HR,2022,482681,366477,118228,54893,34495,7116,5202,15654,13450,47175,1.1592770621613209,High overtime costs
HR,2024,327919,175349,124755,21924,11208,2928,3622,8589,6063,41729,0.9402672642767476,-
HR,2023,215279,100969,164013,20851,14644,6494,9087,6398,5275,32034,0.6062092935126148,-
Marketing,2023,465769,140744,35993,17734,11453,1672,16848,14746,15983,66039,0.9287197291496889,-
Marketing,2024,496848,251495,34620,52681,16093,8190,1610,12691,7566,25203,0.7089316910686486,Additional training expenses
HR,2024,312199,167286,143271,15293,16263,4350,8804,20732,9922,14996,0.7604597399172377,Additional training expenses
HR,2022,299084,299084,40193,63203,5305,1287,16988,15943,6930,32602,1.0662016664764096,Increased maintenance
HR,2024,138697,125028,71559,23820,39152,10918,620,18926,19940,53014,1.181343228095157,Increased maintenance
Operations,2024,213945,213945,41248,77827,37021,16036,15335,18049,8582,27935,1.1088977631110744,High overtime costs
Marketing,2024,151505,151505,196924,57163,22958,6610,2602,17113,6331,30425,0.7280625321613988,-
Operations,2022,392864,392864,156099,22391,5872,9250,7098,8266,13066,62534,0.8175611676184982,Increased maintenance
Operations,2024,247277,88575,83410,51970,46128,6883,155,11408,14748,45216,1.18844842268946,Additional training expenses
HR,2024,390343,53192,24260,56823,26962,11170,8160,19842,18236,79632,1.1464716178027095,-
HR,2022,206390,161116,57596,40796,47563,16514,15398,16136,5479,34942,1.1838642615755441,High overtime costs
IT,2024,83734,83734,29012,93127,22414,8044,6681,8497,9509,3527,0.8030422395280209,-
IT,2024,263299,263299,45823,46389,14926,8302,15903,26340,8046,13993,1.0603942888886229,Increased maintenance
Operations,2022,199594,131311,93851,13352,44673,2734,11309,6974,16786,30224,1.109852080138701,Increased maintenance
Marketing,2023,192728,192728,67027,93598,42210,1066,2715,14058,6488,5423,0.5309843465030931,-
HR,2022,196965,130781,103794,38172,20290,4970,4339,14245,18720,27113,0.6862614343479867,Additional training expenses
HR,2024,328637,86527,45099,20937,8667,17701,8070,10410,13152,43246,1.1184387566416172,-
Operations,2024,446848,102181,121427,90138,22660,16668,449,29126,16016,59567,0.7721197407268299,-
IT,2024,145872,141472,56992,98672,11553,7794,15106,7534,7092,26833,0.6950354549252211,-
Marketing,2022,373923,373923,139942,76481,21926,4114,1069,28957,19108,14307,0.6908840451412018,-
IT,2024,219524,131219,137886,95348,9808,12834,4017,19250,5829,15928,0.762783481649441,-
IT,2024,194338,194338,162049,83509,33612,16431,2819,29603,18582,46268,0.6707739736685252,Additional training expenses
IT,2022,433331,169783,198448,33552,45499,6138,13582,8217,17562,60924,0.5023543186507765,High overtime costs
IT,2023,166603,166603,185050,24118,33015,19643,13867,23719,15126,89643,0.6208166032030347,High overtime costs
HR,2023,373751,373751,29218,21290,38351,10270,18669,26060,18734,81814,1.1178025382580266,Increased maintenance
HR,2024,66940,66940,41788,35123,14138,10498,10227,27779,18815,26571,0.5529540181320581,Additional training expenses
IT,2022,205075,133265,40501,91919,45463,3415,9382,28713,12655,74361,0.78910142808488,-
Marketing,2024,177880,100126,123733,69551,41241,12595,17783,18214,7700,55254,0.8195414979158882,Additional training expenses
Operations,2022,148408,148408,35210,62136,6198,6450,15947,23541,13335,24372,1.0447077746546727,High overtime costs
Marketing,2022,346959,105114,148476,73886,32447,13410,11932,19176,9930,49652,0.6768129842442723,-
Marketing,2023,211941,211941,94225,85902,41763,6164,18632,24075,7804,47415,0.7167492518503298,Additional training expenses
Marketing,2023,99297,99297,196561,77333,17113,7787,10985,27925,15078,1563,0.5099931705188363,Increased maintenance
IT,2022,110107,110107,83721,54016,33749,15924,6375,24726,12990,20459,1.1319814305099558,High overtime costs
HR,2024,394937,326034,193725,31427,42303,12518,15805,6555,11336,50326,0.9798898575258854,-
Marketing,2023,459898,171284,192022,12257,43639,81,17107,21659,15786,91710,0.6839923601328782,-
IT,2024,69622,69622,159988,77733,24687,3005,9633,24120,13975,89606,1.121260462645631,-
Marketing,2023,342552,244469,51449,18222,7447,8408,5273,8089,11016,84078,0.5606070328104018,-
Marketing,2023,189909,189909,109333,35187,14408,334,7535,19743,9273,51136,0.7578769584630818,-
IT,2024,196479,196479,40782,89688,44612,11103,4820,12578,16021,89219,0.894518274269263,-
HR,2023,210381,192290,40243,30781,22674,8944,16470,29352,11461,16903,0.8538581681332877,Additional training expenses
HR,2023,143190,143190,49379,21004,17413,11953,6846,7172,12558,42877,0.9584352836242906,Increased maintenance
Operations,2024,462111,138241,57780,67600,12549,10943,15155,21536,7198,34096,0.7083165297591489,Additional training expenses
IT,2023,302356,302356,181812,35515,28071,3897,4149,22988,13802,23580,1.0304890238545712,Additional training expenses
Operations,2023,267984,267984,134944,90952,13693,4648,18135,28185,16710,88913,0.7838123277007001,-
Operations,2023,50370,50370,39984,81688,48831,9674,5161,12724,13732,14134,0.5877080355850817,-
Operations,2024,426356,354144,20050,82708,21770,17166,3420,15259,15389,41892,1.0182810135513973,Additional training expenses
HR,2022,312630,312630,157662,13185,46371,19970,15029,6826,12375,23902,1.1383600869190929,High overtime costs
IT,2024,335906,80921,60205,64476,7006,3794,18867,29822,18660,26117,0.7550971342462829,-
Operations,2022,76613,76613,35162,41212,10213,15344,3212,26893,15501,82327,0.9127569766754584,-
IT,2023,293876,293876,69746,84697,41636,12874,15647,22754,12889,50683,0.9814771696500662,High overtime costs
IT,2022,53196,53196,164177,58533,14530,5597,3922,16739,5412,49775,1.0820664655555385,Additional training expenses
HR,2024,276009,242261,188571,93003,11637,7050,14929,10322,12256,81000,0.638595455102316,High overtime costs
Operations,2024,412709,67601,187713,97125,9964,5051,6042,26512,10868,2766,0.898984851160803,-
Operations,2023,388493,143332,31628,47630,39070,17126,8013,10811,14975,53799,1.0182543786279497,Increased maintenance
IT,2022,376983,376983,193104,78606,12749,4544,9678,6691,10377,51979,0.6393883215854674,High overtime costs
Marketing,2023,485132,252615,58516,84099,5846,12875,19911,11674,17779,69951,0.8307370302103712,High overtime costs
HR,2023,58572,58572,107157,26585,18390,4355,3754,15836,14919,29741,0.8250534619281877,-
HR,2024,471441,431148,152548,59240,18735,19992,11187,8390,10727,97520,1.087541678912435,High overtime costs
HR,2022,95853,95853,139558,24772,28905,19655,4365,23782,18407,66202,1.0441144803165545,-
HR,2022,492606,459508,60800,89991,19876,18894,16007,15473,18288,11300,0.6623485467282122,Increased maintenance
Operations,2022,213347,213347,55788,81835,18967,8285,546,14862,6427,26360,0.6630668708683501,Increased maintenance
Operations,2022,384523,340144,140754,85724,23262,13308,3729,5036,8510,5605,1.006347890582338,Additional training expenses
Marketing,2023,444321,180439,46240,97091,41873,17759,7350,16608,19372,99437,1.0177287369789756,-
HR,2023,166074,166074,161994,27938,25014,2516,13389,23011,6637,50661,0.6252299106795653,Increased maintenance
HR,2024,93209,93209,84198,31983,29054,13155,14643,7339,9576,44349,0.7878262732720884,-
IT,2023,485703,342527,78739,22874,34955,16474,15687,27544,13371,58959,1.0780396036457045,High overtime costs
Operations,2023,461267,192857,32089,70896,28051,15403,1968,19425,8396,55371,0.5555944576980715,High overtime costs
HR,2024,144244,90910,52600,56209,33385,1479,4516,6371,9677,37473,0.7617261939497242,-
Marketing,2024,282067,220100,197248,42822,40587,17338,1259,5676,10525,16294,0.9511787223568227,-
Marketing,2024,303516,205927,28167,30750,32483,8214,14145,10072,18780,73092,1.0397607545308833,High overtime costs
Operations,2023,258472,258472,98352,52083,32653,12310,19317,5252,12122,4683,0.9568605222392363,-
Marketing,2023,150300,150300,172236,37946,45845,19689,2509,7864,6642,94800,0.7782645411110228,High overtime costs
Marketing,2024,248033,54841,105965,11552,49790,18105,12200,23000,6294,33076,1.194365767712352,Additional training expenses
Operations,2024,426826,147204,145540,83331,47018,2547,12264,15208,19689,20746,0.5290726508943312,Additional training expenses
HR,2024,107175,107175,51415,15271,35894,4923,17946,23615,14774,71712,0.8463291039224252,Additional training expenses
HR,2023,450065,450065,91895,90201,34842,16572,10277,27817,8536,22567,0.8570385111738865,-
Marketing,2023,151551,151551,99900,75651,24648,16207,3669,22144,12787,78509,0.6678538216567869,High overtime costs
Marketing,2022,331120,309589,114330,38994,36756,459,18865,24670,13555,39647,0.8910951888407831,Increased maintenance
